"No","ID","Site","Name","Plot","Subplot","Micro_plot","Block","Row","Date","year_ID","Sampling_ID","Year","Soil_depth","depth","crop_sampling","cc_variant","Fraction","long","lat","BD","Clay","Silt","Sand","OC","TN","CN_ratio","d13C","d15N","MWD_cor","GMD_cor","DS","DS_pc","OC_Frac","TN_Frac","OC_Frac_pc","TN_Frac_pc","cc_type"
1,"A 20-2 8-1","A","A8","8","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Mustard","bulk",9.02435825164329,52.7629876144873,0.949,7.57998296507118,73.0277215949139,19.3922954400149,2.564,0.185,13.8594594594595,-26.0407366350352,6.34691207518496,2.4117698572087,0.990422266929389,NA,NA,NA,NA,NA,NA,"Single"
2,"8-2","A","A8","8","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Mustard","bulk",9.02435825164329,52.7629876144873,1.365,7.41035123653433,72.7933950196557,19.79625374381,1.955,0.157,12.4522292993631,-27.6855085535685,6.94644204809977,2.97852440563816,1.65357188965123,NA,NA,NA,NA,NA,NA,"Single"
3,"8-3","A","A8","8","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Mustard","bulk",9.02435825164329,52.7629876144873,1.742,5.75839944529166,73.7935815035457,20.4480190511626,1.642,0.131,12.5343511450382,-27.5966781398761,6.61112308041182,2.6990908194905,1.39063486009929,NA,NA,NA,NA,NA,NA,"Single"
4,"9-1","A","A9","9","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Fallow","bulk",9.02446039835671,52.7629355855127,1.213,7.39746546560829,72.6108761065532,19.9916584278385,2.201,0.174,12.6494252873563,-27.3255564150644,6.52863829798179,2.59526846439939,1.63605748169098,NA,NA,NA,NA,NA,NA,"Fallow"
5,"9-2","A","A9","9","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Fallow","bulk",9.02446039835671,52.7629355855127,1.372,6.20572379204711,72.7457483788458,21.0485278291071,2.126,0.16,13.2875,-27.4849359688059,6.78109328100615,2.02125733131812,0.861940461152038,NA,NA,NA,NA,NA,NA,"Fallow"
6,"9-3","A","A9","9","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Fallow","bulk",9.02446039835671,52.7629355855127,1.751,5.01398211848593,70.9447262408151,24.041291640699,1.698,0.123,13.8048780487805,-27.7400430445254,6.71705677079098,3.04138665652634,1.63825402359332,NA,NA,NA,NA,NA,NA,"Fallow"
7,"10-1","A","A10","10","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Mix4","bulk",9.02456254412832,52.7628835583476,1.302,12.9414882786904,66.5157638296997,20.5427478916099,2.169,0.166,13.066265060241,-26.827266132399,6.20001005664469,2.83557991766878,1.31271436530091,NA,NA,NA,NA,NA,NA,"Mix"
8,"10-2","A","A10","10","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Mix4","bulk",9.02456254412832,52.7628835583476,1.37,5.68128961553107,74.8884058272295,19.4303045572394,2.156,0.163,13.2269938650307,-27.6833347627855,6.87504348391514,2.82405961381794,1.63231505530043,NA,NA,NA,NA,NA,NA,"Mix"
9,"10-3","A","A10","10","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Mix4","bulk",9.02456254412832,52.7628835583476,1.712,4.66873299956653,73.8642705089359,21.4669964914976,1.992,0.144,13.8333333333333,-27.6185083165779,6.77985852203332,3.29515608833683,1.92470696963346,NA,NA,NA,NA,NA,NA,"Mix"
10,"11-1","A","A11","11","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Mix12","bulk",9.02466468372645,52.7628315321895,1.121,5.783279816009,74.6063924403862,19.6103277436048,2.338,0.181,12.9171270718232,-27.3372823288023,6.25987141922444,2.89825041471296,1.34184901874096,NA,NA,NA,NA,NA,NA,"Mix"
11,"11-2","A","A11","11","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Mix12","bulk",9.02466468372645,52.7628315321895,1.293,6.38554043090868,73.7779977823161,19.8364617867752,2.12,0.159,13.3333333333333,-27.9035193411417,6.91715768883729,3.58601478557923,2.32000016160939,NA,NA,NA,NA,NA,NA,"Mix"
12,"11-3","A","A11","11","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Mix12","bulk",9.02466468372645,52.7628315321895,1.756,4.34205190076203,78.3847366186926,17.2732114805454,1.522,0.096,15.8541666666667,-27.902833977696,5.65468469482742,2.47780054661268,1.14684870725145,NA,NA,NA,NA,NA,NA,"Mix"
13,"11-1","A","A12","12","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Phacelia","bulk",9.0247668264124,52.7627795030699,1.412,6.69030390079889,71.7353331536887,21.5743629455125,2.238,0.171,13.0877192982456,-26.492844702038,6.31409913909092,2.11198331659708,0.776011732750105,NA,NA,NA,NA,NA,NA,"Single"
14,"12-2","A","A12","12","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Phacelia","bulk",9.0247668264124,52.7627795030699,1.326,6.21769348484089,73.3977026256991,20.38460388946,2.068,0.159,13.0062893081761,-27.788077607293,6.4544084145918,3.37424257224112,1.8205460600439,NA,NA,NA,NA,NA,NA,"Single"
15,"12-3","A","A12","12","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Phacelia","bulk",9.0247668264124,52.7627795030699,1.616,5.13677964429267,69.1511828734423,25.712037482265,1.731,0.117,14.7948717948718,-27.8244527479631,6.66736908392078,3.5449461506838,2.18929038107863,NA,NA,NA,NA,NA,NA,"Single"
16,"13-1","A","A13","13","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Clover","bulk",9.02486897369257,52.7627274743925,1.304,6.67411166535948,71.9649778905663,21.3609104440742,2.065,0.165,12.5151515151515,-27.2956307439347,6.17795728522051,2.86810061888304,1.4202211266288,NA,NA,NA,NA,NA,NA,"Single"
17,"13-2","A","A13","13","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Clover","bulk",9.02486897369257,52.7627274743925,1.35,6.59175393043993,73.0592012008676,20.3490448686924,1.85,0.146,12.6712328767123,-27.7932355627464,6.60690187663592,3.09307630851078,1.69525654043277,NA,NA,NA,NA,NA,NA,"Single"
18,"13-3","A","A13","13","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Clover","bulk",9.02486897369257,52.7627274743925,1.647,5.71616193199068,73.7363372933586,20.5475007746507,1.665,0.129,12.906976744186,-27.5066386000792,6.82318682829999,3.15543798698987,1.93997786510592,NA,NA,NA,NA,NA,NA,"Single"
